symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2025-01-31 05:00:00+00:00,401.53,419.99,401.34,404.6,83568219.0,1221590.0,411.562838
TSLA,2025-02-03 05:00:00+00:00,386.68,389.17,374.36,383.68,93667990.0,1628253.0,382.79558
TSLA,2025-02-04 05:00:00+00:00,382.63,394.0,381.4,392.21,56887097.0,898728.0,387.034276
TSLA,2025-02-05 05:00:00+00:00,387.51,388.39,375.53,378.17,57614721.0,992349.0,381.307481
TSLA,2025-02-06 05:00:00+00:00,373.03,375.4,363.18,374.32,77918230.0,1355558.0,368.749796
TSLA,2025-02-07 05:00:00+00:00,370.19,380.5459,360.34,361.62,70039450.0,1174003.0,368.731833
TSLA,2025-02-10 05:00:00+00:00,356.21,362.7,350.51,350.73,77475129.0,1336497.0,356.578934
TSLA,2025-02-11 05:00:00+00:00,345.8,349.37,325.1,328.5,118543400.0,1942757.0,335.217463
TSLA,2025-02-12 05:00:00+00:00,329.94,346.4,329.12,336.51,105382729.0,1582239.0,339.515711
TSLA,2025-02-13 05:00:00+00:00,345.0,358.69,342.85,355.94,89441519.0,1349829.0,352.237369
TSLA,2025-02-14 05:00:00+00:00,360.62,362.0,347.5,355.84,68277279.0,1058534.0,353.259755
TSLA,2025-02-18 05:00:00+00:00,355.01,359.1,350.02,354.11,51631702.0,897273.0,354.488447
TSLA,2025-02-19 05:00:00+00:00,354.0,367.34,353.67,360.56,67020286.0,961336.0,361.863395
TSLA,2025-02-20 05:00:00+00:00,361.51,362.3,348.0,354.4,45965354.0,778485.0,353.36419
TSLA,2025-02-21 05:00:00+00:00,353.44,354.98,334.42,337.8,74058648.0,1120548.0,342.133875
TSLA,2025-02-24 05:00:00+00:00,338.14,342.3973,324.7,330.53,76052321.0,1245962.0,333.274028
TSLA,2025-02-25 05:00:00+00:00,327.025,328.89,297.2512,302.8,134228777.0,2229729.0,305.85086
TSLA,2025-02-26 05:00:00+00:00,303.715,309.0,288.04,290.8,100118276.0,1673163.0,296.998498
TSLA,2025-02-27 05:00:00+00:00,291.16,297.23,280.88,281.95,101748197.0,1493684.0,287.317467
TSLA,2025-02-28 05:00:00+00:00,279.5,293.88,273.6,292.98,115696968.0,1571967.0,287.208796
TSLA,2025-03-03 05:00:00+00:00,300.34,303.94,277.3,284.65,115551414.0,1628425.0,292.134741
TSLA,2025-03-04 05:00:00+00:00,270.93,284.35,261.8401,272.04,126706623.0,1989579.0,271.460114
TSLA,2025-03-05 05:00:00+00:00,272.92,279.55,267.71,279.1,94042913.0,1289438.0,273.802495
TSLA,2025-03-06 05:00:00+00:00,272.06,272.65,260.02,263.45,98451566.0,1504633.0,265.324371
TSLA,2025-03-07 05:00:00+00:00,259.32,266.2499,250.73,262.67,102369640.0,1461875.0,259.833942
TSLA,2025-03-10 04:00:00+00:00,252.535,253.37,220.0,222.15,189076948.0,2809174.0,232.310131
TSLA,2025-03-11 04:00:00+00:00,225.305,237.0649,217.02,230.58,174896415.0,2439849.0,229.314974
TSLA,2025-03-12 04:00:00+00:00,247.22,251.84,241.1,248.09,142215681.0,1874690.0,247.456695
TSLA,2025-03-13 04:00:00+00:00,248.125,248.29,232.6,240.68,114813525.0,1536071.0,238.628866
TSLA,2025-03-14 04:00:00+00:00,247.31,251.58,240.73,249.98,100242264.0,1280257.0,247.210245
TSLA,2025-03-17 04:00:00+00:00,245.055,245.4,232.8,238.01,111900565.0,1489431.0,238.132321
TSLA,2025-03-18 04:00:00+00:00,228.155,230.1,222.28,225.31,111477636.0,1521430.0,225.928552
TSLA,2025-03-19 04:00:00+00:00,231.61,241.41,229.201,235.86,111991788.0,1335644.0,234.486109
TSLA,2025-03-20 04:00:00+00:00,233.345,238.0,230.0501,236.26,99028270.0,1223405.0,234.324104
TSLA,2025-03-21 04:00:00+00:00,234.985,249.52,234.55,248.71,132728684.0,1468859.0,243.518246
TSLA,2025-03-24 04:00:00+00:00,258.075,278.64,256.33,278.39,169079865.0,2140074.0,271.801762
TSLA,2025-03-25 04:00:00+00:00,283.6,288.2,271.28,288.14,150361538.0,1953630.0,279.24187
TSLA,2025-03-26 04:00:00+00:00,282.66,284.9,266.51,272.06,156254441.0,1896601.0,274.400472
TSLA,2025-03-27 04:00:00+00:00,272.48,291.85,271.8216,273.13,162572146.0,1941634.0,280.264619
TSLA,2025-03-28 04:00:00+00:00,275.575,276.1,260.57,263.55,123809389.0,1578132.0,265.805682
TSLA,2025-03-31 04:00:00+00:00,249.31,260.56,243.3601,259.16,134008936.0,1661129.0,252.69498
TSLA,2025-04-01 04:00:00+00:00,263.8,277.45,259.25,268.46,146486911.0,1965296.0,270.125037
TSLA,2025-04-02 04:00:00+00:00,254.6,284.99,251.27,282.76,212787817.0,2716691.0,274.361909
TSLA,2025-04-03 04:00:00+00:00,265.29,276.3,261.51,267.28,136174249.0,1807953.0,268.141151
